#Gene	Transcript	Source
RDH8	NM_015725.4	MANE
RDM1	NM_145654.4	MANE
RDX	NM_002906.4	MANE
REC114	NM_001042367.2	MANE
REC8	NM_001048205.2	MANE
RECK	NM_021111.3	MANE
RECQL	NM_002907.4	MANE
RECQL4	NM_004260.4	MANE
RECQL5	NM_004259.7	MANE
REELD1	NM_001354631.1	MANE
REEP1	NM_001371279.1	MANE
REEP2	NM_001271803.2	MANE
REEP3	NM_001001330.3	MANE
REEP4	NM_025232.4	MANE
REEP5	NM_005669.5	MANE
REEP6	NM_138393.4	MANE
REG1A	NM_002909.5	MANE
REG1B	NM_006507.4	MANE
REG3A	NM_002580.3	MANE
REG3G	NM_001008387.3	MANE
REG4	NM_032044.4	MANE
REL	NM_001291746.2	MANE
RELA	NM_021975.4	MANE
RELB	NM_006509.4	MANE
RELCH	NM_001346231.2	MANE
RELL1	NM_001085400.2	MANE
RELL2	NM_173828.5	MANE
RELN	NM_005045.4	MANE
RELT	NM_152222.2	MANE
REM1	NM_014012.6	MANE
REM2	NM_173527.3	MANE
REN	NM_000537.4	MANE
RENBP	NM_002910.6	MANE
REP15	NM_001029874.3	MANE
REPIN1	NM_001099695.2	MANE
REPS1	NM_001286611.2	MANE
REPS2	NM_004726.3	MANE
RER1	NM_007033.5	MANE
RERE	NM_001042681.2	MANE
RERG	NM_032918.3	MANE
RERGL	NM_001286201.2	MANE
RESF1	NM_018169.4	MANE
RESP18	NM_001007089.4	MANE
REST	NM_005612.5	MANE
RET	NM_020975.6	MANE
RETN	NM_020415.4	MANE
RETNLB	NM_032579.3	MANE
RETREG1	NM_001034850.3	MANE
RETREG2	NM_024293.6	MANE
RETREG3	NM_178126.4	MANE
RETSAT	NM_017750.4	MANE
REV1	NM_016316.4	MANE
REV3L	NM_001372078.1	MANE
REX1BD	NM_001100418.2	MANE
REXO1	NM_020695.4	MANE
REXO2	NM_015523.4	MANE
REXO4	NM_020385.4	MANE
REXO5	NM_030941.3	MANE
RFC1	NM_002913.5	MANE
RFC2	NM_181471.3	MANE
RFC3	NM_002915.4	MANE
RFC4	NM_002916.5	MANE
RFC5	NM_007370.7	MANE
RFESD	NM_001131066.2	MANE
RFFL	NM_001017368.2	MANE
RFK	NM_018339.6	MANE
RFLNA	NM_001365156.1	MANE
RFLNB	NM_182705	HGNC
RFNG	NM_002917.2	MANE
RFPL1	NM_021026	HGNC
RFPL2	NM_001394555.1	MANE
RFPL3	NM_001098535.1	MANE
RFPL4A	NM_001145014.2	MANE
RFPL4AL1	NM_001277397.2	MANE
RFPL4B	NM_001013734.3	MANE
RFT1	NM_052859.4	MANE
RFTN1	NM_015150.2	MANE
RFTN2	NM_144629.3	MANE
RFWD3	NM_018124.4	MANE
RFX1	NM_002918.5	MANE
RFX2	NM_000635.4	MANE
RFX3	NM_001282116.2	MANE
RFX4	NM_213594.3	MANE
RFX5	NM_001025603.2	MANE
RFX6	NM_173560.4	MANE
RFX7	NM_022841.7	MANE
RFX8	NM_001145664.2	MANE
RFXANK	NM_003721.4	MANE
RFXAP	NM_000538.4	MANE
RGCC	NM_014059.3	MANE
RGL1	NM_001297671.3	MANE
RGL2	NM_004761.5	MANE
RGL3	NM_001035223.4	MANE
RGL4	NM_153615.2	MANE
RGMA	NM_020211.3	MANE
RGMB	NM_001366508.1	MANE
RGN	NM_152869.4	MANE
RGP1	NM_001080496.3	MANE
RGPD1	NM_001382344.1	MANE
RGPD2	NM_001078170.3	MANE
RGPD3	NM_001144013.2	MANE
RGPD4	NM_182588.3	MANE
RGPD5	NM_005054.3	MANE
RGPD6	NM_001123363.4	MANE
RGPD8	NM_001164463.1	MANE
RGR	NM_001012720.2	MANE
RGS1	NM_002922.4	MANE
RGS10	NM_001005339.2	MANE
RGS11	NM_183337.3	MANE
RGS12	NM_001394154.1	MANE
RGS13	NM_002927.5	MANE
RGS14	NM_006480.5	MANE
RGS16	NM_002928.4	MANE
RGS17	NM_012419.5	MANE
RGS18	NM_130782.3	MANE
RGS19	NM_005873.3	MANE
RGS2	NM_002923.4	MANE
RGS20	NM_170587.4	MANE
RGS21	NM_001039152.3	MANE
RGS22	NM_015668.5	MANE
RGS3	NM_001394167.1	MANE
RGS4	NM_005613.6	MANE
RGS5	NM_003617.4	MANE
RGS6	NM_001204424.2	MANE
RGS7	NM_001364886.1	MANE
RGS7BP	NM_001029875.3	MANE
RGS8	NM_001102450.3	MANE
RGS9	NM_003835.4	MANE
RGS9BP	NM_207391.3	MANE
RGSL1	NM_001137669.2	MANE
RHAG	NM_000324.3	MANE
RHBDD1	NM_001167608.3	MANE
RHBDD2	NM_001040456.3	MANE
RHBDD3	NM_012265.3	MANE
RHBDF1	NM_022450.5	MANE
RHBDF2	NM_001005498.4	MANE
RHBDL1	NM_001278720.2	MANE
RHBDL2	NM_017821.5	MANE
RHBDL3	NM_138328.3	MANE
RHBG	NM_020407.5	MANE
RHCE	NM_020485.8	MANE
RHCG	NM_016321.3	MANE
RHD	NM_016124.6	MANE
RHEB	NM_005614.4	MANE
RHEBL1	NM_144593.3	MANE
RHEX	NM_001007544.4	MANE
RHNO1	NM_001252499.3	MANE
RHO	NM_000539.3	MANE
RHOA	NM_001664.4	MANE
RHOB	NM_004040.4	MANE
RHOBTB1	NM_014836.5	MANE
RHOBTB2	NM_015178.3	MANE
RHOBTB3	NM_014899.4	MANE
RHOC	NM_175744.5	MANE
RHOD	NM_014578.4	MANE
RHOF	NM_019034.3	MANE
RHOG	NM_001665.4	MANE
RHOH	NM_004310.5	MANE
RHOJ	NM_020663.5	MANE
RHOQ	NM_012249.4	MANE
RHOT1	NM_001033566.3	MANE
RHOT2	NM_138769.3	MANE
RHOU	NM_021205.6	MANE
RHOV	NM_133639.4	MANE
RHOXF1	NM_139282.3	MANE
RHOXF2	NM_032498.3	MANE
RHOXF2B	NM_001099685.3	MANE
RHPN1	NM_052924.3	MANE
RHPN2	NM_033103.5	MANE
RIBC1	NM_001031745.5	MANE
RIBC2	NM_015653.5	MANE
RIC1	NM_020829.4	MANE
RIC3	NM_001206671.4	MANE
RIC8A	NM_001286134.2	MANE
RIC8B	NM_001330145.2	MANE
RICTOR	NM_152756.5	MANE
RIDA	NM_005836.3	MANE
RIF1	NM_018151.5	MANE
RIIAD1	NM_001144956.3	MANE
RILP	NM_031430.3	MANE
RILPL1	NM_178314.5	MANE
RILPL2	NM_145058.3	MANE
RIMBP2	NM_001393629.1	MANE
RIMBP3	NM_015672.2	MANE
RIMBP3B	NM_001128635.2	MANE
RIMBP3C	NM_001128633.2	MANE
RIMKLA	NM_173642.4	MANE
RIMKLB	NM_001297776.2	MANE
RIMOC1	NM_175921.6	MANE
RIMS1	NM_014989.7	MANE
RIMS2	NM_001348484.3	MANE
RIMS3	NM_014747.3	MANE
RIMS4	NM_182970.4	MANE
RIN1	NM_004292.3	MANE
RIN2	NM_018993.4	MANE
RIN3	NM_024832.5	MANE
RING1	NM_002931.4	MANE
RINL	NM_001195833.2	MANE
RINT1	NM_021930.6	MANE
RIOK1	NM_031480.3	MANE
RIOK2	NM_018343.3	MANE
RIOK3	NM_003831.5	MANE
RIOX1	NM_024644.5	MANE
RIOX2	NM_153182.4	MANE
RIPK1	NM_001354930.2	MANE
RIPK2	NM_003821.6	MANE
RIPK3	NM_006871.4	MANE
RIPK4	NM_020639.3	MANE
RIPOR1	NM_024519.4	MANE
RIPOR2	NM_001286445.3	MANE
RIPOR3	NM_001290268.2	MANE
RIPPLY1	NM_138382.3	MANE
RIPPLY2	NM_001009994.3	MANE
RIPPLY3	NM_018962.3	MANE
RIT1	NM_006912.6	MANE
RIT2	NM_002930.4	MANE
RITA1	NM_032848.3	MANE
RLBP1	NM_000326.5	MANE
RLF	NM_012421.4	MANE
RLIM	NM_016120.4	MANE
RLN1	NM_006911.4	MANE
RLN2	NM_134441.3	MANE
RLN3	NM_080864.4	MANE
RMC1	NM_013326.5	MANE
RMDN1	NM_016033.3	MANE
RMDN2	NM_001170791.3	MANE
RMDN3	NM_018145.3	MANE
RMI1	NM_001358291.2	MANE
RMI2	NM_152308.3	MANE
RMND1	NM_017909.4	MANE
RMND5A	NM_022780.4	MANE
RMND5B	NM_022762.5	MANE
RMRP	NR_003051.3	HGMD
RNASE1	NM_002933.5	MANE
RNASE10	NM_001012975	HGNC
RNASE11	NM_145250	HGNC
RNASE12	NM_001024822.4	MANE
RNASE13	NM_001012264.4	MANE
RNASE2	NM_002934.3	MANE
RNASE3	NM_002935.3	MANE
RNASE4	NM_002937.5	MANE
RNASE6	NM_005615.5	MANE
RNASE7	NM_032572.4	MANE
RNASE8	NM_138331.2	MANE
RNASE9	NM_001001673	HGNC
RNASEH1	NM_002936.6	MANE
RNASEH2A	NM_006397.3	MANE
RNASEH2B	NM_024570.4	MANE
RNASEH2C	NM_032193.4	MANE
RNASEK	NM_001004333.5	MANE
RNASEL	NM_021133.4	MANE
RNASET2	NM_003730.6	MANE
RND1	NM_014470.4	MANE
RND2	NM_005440.5	MANE
RND3	NM_005168.5	MANE
RNF10	NM_014868.5	MANE
RNF103	NM_005667.4	MANE
RNF11	NM_014372.5	MANE
RNF111	NM_017610.8	MANE
RNF112	NM_007148.5	MANE
RNF113A	NM_006978.3	MANE
RNF113B	NM_178861.5	MANE
RNF114	NM_018683.4	MANE
RNF115	NM_014455.4	MANE
RNF121	NM_018320.5	MANE
RNF122	NM_024787.3	MANE
RNF123	NM_022064.5	MANE
RNF125	NM_017831.4	MANE
RNF126	NM_194460.3	MANE
RNF128	NM_194463.2	MANE
RNF13	NM_183381.3	MANE
RNF130	NM_018434.6	MANE
RNF133	NM_139175.2	MANE
RNF135	NM_032322.4	MANE
RNF138	NM_016271.5	MANE
RNF139	NM_007218.4	MANE
RNF14	NM_004290.5	MANE
RNF141	NM_016422.4	MANE
RNF144A	NM_014746.6	MANE
RNF144B	NM_182757.4	MANE
RNF145	NM_001199383.2	MANE
RNF146	NM_001242850.2	MANE
RNF148	NM_198085.2	MANE
RNF149	NM_173647.4	MANE
RNF150	NM_020724.2	MANE
RNF151	NM_174903.6	MANE
RNF152	NM_173557.3	MANE
RNF157	NM_052916.3	MANE
RNF165	NM_152470.3	MANE
RNF166	NM_178841.4	MANE
RNF167	NM_015528.3	MANE
RNF168	NM_152617.4	MANE
RNF169	NM_001098638.2	MANE
RNF17	NM_031277.3	MANE
RNF170	NM_030954.4	MANE
RNF175	NM_173662.4	MANE
RNF180	NM_001113561.2	MANE
RNF181	NM_016494.4	MANE
RNF182	NM_152737.4	MANE
RNF183	NM_001371237.1	MANE
RNF185	NM_152267.4	MANE
RNF186	NM_019062.2	MANE
RNF187	NM_001010858.3	MANE
RNF19A	NM_183419.4	MANE
RNF19B	NM_001300826.2	MANE
RNF2	NM_007212.4	MANE
RNF20	NM_019592.7	MANE
RNF207	NM_207396.3	MANE
RNF208	NM_031297.7	MANE
RNF212	NM_001131034.4	MANE
RNF212B	NM_001282322.3	MANE
RNF213	NM_001256071.3	MANE
RNF214	NM_207343.4	MANE
RNF215	NM_001017981.2	MANE
RNF216	NM_207111.4	MANE
RNF217	NM_001286398.3	MANE
RNF220	NM_018150.4	MANE
RNF222	NM_001146684.3	MANE
RNF223	NM_001205252.2	MANE
RNF224	NM_001190228.2	MANE
RNF225	NM_001195135.2	MANE
RNF227	NM_001358699.2	MANE
RNF24	NM_001134337.3	MANE
RNF25	NM_022453.3	MANE
RNF26	NM_032015.5	MANE
RNF31	NM_017999.5	MANE
RNF32	NM_030936.4	MANE
RNF34	NM_025126.4	MANE
RNF38	NM_022781.5	MANE
RNF39	NM_025236.4	MANE
RNF4	NM_002938.5	MANE
RNF40	NM_014771.4	MANE
RNF41	NM_005785.4	MANE
RNF43	NM_017763.6	MANE
RNF44	NM_014901.5	MANE
RNF5	NM_006913.4	MANE
RNF6	NM_005977.4	MANE
RNF7	NM_014245.5	MANE
RNF8	NM_003958.4	MANE
RNFT1	NM_016125.4	MANE
RNFT2	NM_001382266.1	MANE
RNGTT	NM_003800.5	MANE
RNH1	NM_203387.3	MANE
RNLS	NM_001031709.3	MANE
RNMT	NM_003799.3	MANE
RNPC3	NM_017619.4	MANE
RNPEP	NM_020216.4	MANE
RNPEPL1	NM_018226.6	MANE
RNPS1	NM_080594.4	MANE
RNU4ATAC	NR_023343.1	HGMD
RO60	NM_001173524.2	MANE
ROBO1	NM_002941.4	MANE
ROBO2	NM_001395656.1	MANE
ROBO3	NM_022370.4	MANE
ROBO4	NM_019055.6	MANE
ROCK1	NM_005406.3	MANE
ROCK2	NM_004850.5	MANE
ROGDI	NM_024589.3	MANE
ROM1	NM_000327.4	MANE
ROMO1	NM_080748.3	MANE
ROPN1	NM_001317774.2	MANE
ROPN1B	NM_001308313.2	MANE
ROPN1L	NM_031916.5	MANE
ROR1	NM_005012.4	MANE
ROR2	NM_004560.4	MANE
RORA	NM_134261.3	MANE
RORB	NM_006914.4	MANE
RORC	NM_005060.4	MANE
ROS1	NM_001378902.1	MANE
RP1	NM_006269.2	MANE
RP1L1	NM_178857.6	MANE
RP2	NM_006915.3	MANE
RP9	NM_203288.2	MANE
RPA1	NM_002945.5	MANE
RPA2	NM_002946.5	MANE
RPA3	NM_002947.5	MANE
RPA4	NM_013347.4	MANE
RPAIN	NM_001033002.4	MANE
RPAP1	NM_015540.4	MANE
RPAP2	NM_024813.3	MANE
RPAP3	NM_024604.3	MANE
RPE	NM_199229.3	MANE
RPE65	NM_000329.3	MANE
RPEL1	NM_001143909.1	MANE
RPF1	NM_025065.7	MANE
RPF2	NM_032194.3	MANE
RPGR	NM_001034853.2	MANE
RPGRIP1	NM_020366.4	MANE
RPGRIP1L	NM_015272.5	MANE
RPH3A	NM_001143854.2	MANE
RPH3AL	NM_006987.4	MANE
RPIA	NM_144563.3	MANE
RPL10	NM_006013.5	MANE
RPL10A	NM_007104.5	MANE
RPL10L	NM_080746.3	MANE
RPL11	NM_000975.5	MANE
RPL12	NM_000976.4	MANE
RPL13	NM_000977.4	MANE
RPL13A	NM_012423.4	MANE
RPL14	NM_001034996.3	MANE
RPL15	NM_002948.5	MANE
RPL17	NM_001035006.5	MANE
RPL18	NM_000979.4	MANE
RPL18A	NM_000980.4	MANE
RPL19	NM_000981.4	MANE
RPL21	NM_000982.4	MANE
RPL22	NM_000983.4	MANE
RPL22L1	NM_001099645.2	MANE
RPL23	NM_000978.4	MANE
RPL23A	NM_000984.6	MANE
RPL24	NM_000986.4	MANE
RPL26	NM_000987.5	MANE
RPL26L1	NM_016093.4	MANE
RPL27	NM_000988.5	MANE
RPL27A	NM_000990.5	MANE
RPL28	NM_000991.5	MANE
RPL29	NM_000992.3	MANE
RPL3	NM_000967.4	MANE
RPL30	NM_000989.4	MANE
RPL31	NM_000993.5	MANE
RPL32	NM_000994.4	MANE
RPL34	NM_001319236.2	MANE
RPL35	NM_007209.4	MANE
RPL35A	NM_000996.4	MANE
RPL36	NM_033643.3	MANE
RPL36A	NM_021029.6	MANE
RPL36AL	NM_001001.5	MANE
RPL37	NM_000997.5	MANE
RPL37A	NM_000998.5	MANE
RPL38	NM_000999.4	MANE
RPL39	NM_001000.4	MANE
RPL39L	NM_052969.3	MANE
RPL3L	NM_005061.3	MANE
RPL4	NM_000968.4	MANE
RPL41	NM_001035267.2	MANE
RPL5	NM_000969.5	MANE
RPL6	NM_000970.6	MANE
RPL7	NM_000971.4	MANE
RPL7A	NM_000972.3	MANE
RPL7L1	NM_001366481.3	MANE
RPL8	NM_001317782.2	MANE
RPL9	NM_000661.5	MANE
RPLP0	NM_001002.4	MANE
RPLP1	NM_001003.3	MANE
RPLP2	NM_001004.4	MANE
RPN1	NM_002950.4	MANE
RPN2	NM_002951.5	MANE
RPP14	NM_007042.6	MANE
RPP21	NM_024839.4	MANE
RPP25	NM_017793.3	MANE
RPP25L	NM_148178.3	MANE
RPP30	NM_006413.5	MANE
RPP38	NM_183005.5	MANE
RPP40	NM_006638.4	MANE
RPRD1A	NM_018170.5	MANE
RPRD1B	NM_021215.4	MANE
RPRD2	NM_015203.5	MANE
RPRM	NM_019845.3	MANE
RPRML	NM_203400.5	MANE
RPS10	NM_001014.5	MANE
RPS11	NM_001015.5	MANE
RPS12	NM_001016.4	MANE
RPS13	NM_001017.3	MANE
RPS14	NM_005617.4	MANE
RPS15	NM_001018.5	MANE
RPS15A	NM_001019.5	MANE
RPS16	NM_001020.6	MANE
RPS17	NM_001021.6	MANE
RPS18	NM_022551.3	MANE
RPS19	NM_001022.4	MANE
RPS19BP1	NM_194326.4	MANE
RPS2	NM_002952.4	MANE
RPS20	NM_001023.4	MANE
RPS21	NM_001024.4	MANE
RPS23	NM_001025.5	MANE
RPS24	NM_033022.4	MANE
RPS25	NM_001028.3	MANE
RPS26	NM_001029.5	MANE
RPS27	NM_001030.6	MANE
RPS27A	NM_002954.6	MANE
RPS27L	NM_015920.4	MANE
RPS28	NM_001031.5	MANE
RPS29	NM_001032.5	MANE
RPS3	NM_001005.5	MANE
RPS3A	NM_001006.5	MANE
RPS4X	NM_001007.5	MANE
RPS4Y1	NM_001008.4	MANE
RPS4Y2	NM_001039567.3	MANE
RPS5	NM_001009.4	MANE
RPS6	NM_001010.3	MANE
RPS6KA1	NM_002953.4	MANE
RPS6KA2	NM_021135.6	MANE
RPS6KA3	NM_004586.3	MANE
RPS6KA4	NM_003942.3	MANE
RPS6KA5	NM_004755.4	MANE
RPS6KA6	NM_014496.5	MANE
RPS6KB1	NM_003161.4	MANE
RPS6KB2	NM_003952.3	MANE
RPS6KC1	NM_012424.6	MANE
RPS6KL1	NM_031464.5	MANE
RPS7	NM_001011.4	MANE
RPS8	NM_001012.2	MANE
RPS9	NM_001013.4	MANE
RPSA	NM_002295.6	MANE
RPSAP58	NM_001355283.3	MANE
RPTN	NM_001122965.1	MANE
RPTOR	NM_020761.3	MANE
RPUSD1	NM_058192.3	MANE
RPUSD2	NM_152260.3	MANE
RPUSD3	NM_173659.5	MANE
RPUSD4	NM_032795.3	MANE
RRAD	NM_004165.3	MANE
RRAGA	NM_006570.5	MANE
RRAGB	NM_006064.5	MANE
RRAGC	NM_022157.4	MANE
RRAGD	NM_021244.5	MANE
RRAS	NM_006270.5	MANE
RRAS2	NM_012250.6	MANE
RRBP1	NM_001365613.2	MANE
RREB1	NM_001003699.4	MANE
RRH	NM_006583.5	MANE
RRM1	NM_001033.5	MANE
RRM2	NM_001034.4	MANE
RRM2B	NM_015713.5	MANE
RRN3	NM_018427.5	MANE
RRP1	NM_003683.6	MANE
RRP12	NM_015179.4	MANE
RRP15	NM_016052.4	MANE
RRP1B	NM_015056.3	MANE
RRP36	NM_033112.4	MANE
RRP7A	NM_015703.5	MANE
RRP8	NM_015324.4	MANE
RRP9	NM_004704.5	MANE
RRS1	NM_015169.4	MANE
RS1	NM_000330.4	MANE
RSAD1	NM_018346.3	MANE
RSAD2	NM_080657.5	MANE
RSBN1	NM_018364.5	MANE
RSBN1L	NM_198467.3	MANE
RSC1A1	NM_006511.3	MANE
RSF1	NM_016578.4	MANE
RSKR	NM_001174103.2	MANE
RSL1D1	NM_015659.3	MANE
RSL24D1	NM_016304.3	MANE
RSPH1	NM_080860.4	MANE
RSPH10B	NM_173565.5	MANE
RSPH10B2	NM_001099697.2	MANE
RSPH14	NM_014433.3	MANE
RSPH3	NM_031924.8	MANE
RSPH4A	NM_001010892.3	MANE
RSPH6A	NM_030785.4	MANE
RSPH9	NM_152732.5	MANE
RSPO1	NM_001242908.2	MANE
RSPO2	NM_178565.5	MANE
RSPO3	NM_032784.5	MANE
RSPO4	NM_001029871.4	MANE
RSPRY1	NM_133368.3	MANE
RSRC1	NM_001271838.2	MANE
RSRC2	NM_023012.6	MANE
RSRP1	NM_020317.5	MANE
RSU1	NM_012425.4	MANE
RTBDN	NM_001270441.2	MANE
RTCA	NM_003729.4	MANE
RTCB	NM_014306.5	MANE
RTEL1	NM_001283009.2	MANE
RTF1	NM_015138.5	MANE
RTF2	NM_016407.5	MANE
RTKN	NM_001015055.2	MANE
RTKN2	NM_145307.4	MANE
RTL1	NM_001134888.3	MANE
RTL10	NM_024627.6	MANE
RTL3	NM_152694.3	MANE
RTL4	NM_001395362.2	MANE
RTL5	NM_001024455.4	refSeq
RTL6	NM_032287.3	MANE
RTL8A	NM_001078172.2	MANE
RTL8B	NM_001078173.2	MANE
RTL8C	NM_001078171.2	MANE
RTL9	NM_001385449.1	MANE
RTN1	NM_021136.3	MANE
RTN2	NM_005619.5	MANE
RTN3	NM_001265589.2	MANE
RTN4	NM_020532.5	MANE
RTN4IP1	NM_032730.5	MANE
RTN4R	NM_023004.6	MANE
RTN4RL1	NM_178568.4	MANE
RTN4RL2	NM_178570.3	MANE
RTP1	NM_153708.3	MANE
RTP2	NM_001004312.2	MANE
RTP3	NM_031440.2	MANE
RTP4	NM_022147.3	MANE
RTP5	NM_173821.3	MANE
RTRAF	NM_016039.3	MANE
RTTN	NM_173630.4	MANE
RUBCN	NM_014687.4	MANE
RUBCNL	NM_025113.5	MANE
RUFY1	NM_025158.5	MANE
RUFY2	NM_001330103.2	MANE
RUFY3	NM_001037442.4	MANE
RUFY4	NM_198483.4	MANE
RUNDC1	NM_173079.5	MANE
RUNDC3A	NM_001144825.2	MANE
RUNDC3B	NM_001134405.2	MANE
RUNX1	NM_001754.5	MANE
RUNX1T1	NM_175635.3	refSeq
RUNX2	NM_001024630.4	MANE
RUNX3	NM_004350.3	MANE
RUSC1	NM_001105203.2	MANE
RUSC2	NM_014806.5	MANE
RUSF1	NM_022744.4	MANE
RUVBL1	NM_003707.3	MANE
RUVBL2	NM_006666.3	MANE
RWDD1	NM_015952.4	MANE
RWDD2A	NM_033411.5	MANE
RWDD2B	NM_016940.3	MANE
RWDD3	NM_015485.5	MANE
RWDD4	NM_152682.4	MANE
RXFP1	NM_021634.4	MANE
RXFP2	NM_130806.5	MANE
RXFP3	NM_016568.3	MANE
RXFP4	NM_181885.3	MANE
RXRA	NM_002957.6	MANE
RXRB	NM_021976.5	MANE
RXRG	NM_006917.5	MANE
RXYLT1	NM_014254.3	MANE
RYBP	NM_012234	HGNC
RYK	NM_002958.4	MANE
RYR1	NM_000540.3	MANE
RYR2	NM_001035.3	MANE
RYR3	NM_001036.6	MANE
S100A1	NM_006271.2	MANE
S100A10	NM_002966.3	MANE
S100A11	NM_005620.2	MANE
S100A12	NM_005621.2	MANE
S100A13	NM_001024211.2	MANE
S100A14	NM_020672.3	MANE
S100A16	NM_080388.3	MANE
S100A2	NM_005978.4	MANE
S100A3	NM_002960.2	MANE
S100A4	NM_002961.3	MANE
S100A5	NM_001394232.1	MANE
S100A6	NM_014624.4	MANE
S100A7	NM_002963.4	MANE
S100A7A	NM_176823.4	MANE
S100A8	NM_002964.5	MANE
S100A9	NM_002965.4	MANE
S100B	NM_006272.3	MANE
S100G	NM_004057.3	MANE
S100P	NM_005980.3	MANE
S100PBP	NM_022753.4	MANE
S100Z	NM_130772.4	MANE
S1PR1	NM_001400.5	MANE
S1PR2	NM_004230.4	MANE
S1PR3	NM_005226.4	MANE
S1PR4	NM_003775.4	MANE
S1PR5	NM_030760.5	MANE
SAA1	NM_199161.5	MANE
SAA2	NM_030754.5	MANE
SAA4	NM_006512.4	MANE
SAAL1	NM_138421.3	MANE
SAC3D1	NM_013299.4	MANE
SACM1L	NM_014016.5	MANE
SACS	NM_014363.6	MANE
SAE1	NM_005500.3	MANE
SAFB	NM_001201338.2	MANE
SAFB2	NM_014649.3	MANE
SAG	NM_000541.5	MANE
SAGE1	NM_001381902.1	MANE
SAGSIN1	NM_001395995.1	MANE
SALL1	NM_002968.3	MANE
SALL2	NM_001364564.1	MANE
SALL3	NM_171999.4	MANE
SALL4	NM_020436.5	MANE
SAMD1	NM_138352	HGNC
SAMD10	NM_080621.5	MANE
SAMD11	NM_001385641.1	MANE
SAMD12	NM_207506.3	MANE
SAMD13	NM_001134663.2	MANE
SAMD14	NM_001257359.2	MANE
SAMD15	NM_001010860.4	MANE
SAMD3	NM_001017373.4	MANE
SAMD4A	NM_015589.6	MANE
SAMD4B	NM_001384574.2	MANE
SAMD5	NM_001030060.3	MANE
SAMD7	NM_001304366.2	MANE
SAMD8	NM_001174156.2	MANE
SAMD9	NM_017654.4	MANE
SAMD9L	NM_152703.5	MANE
SAMHD1	NM_015474.4	MANE
SAMM50	NM_015380.5	MANE
SAMSN1	NM_022136.5	MANE
SANBR	NM_001129993.3	MANE
SAP130	NM_001330301.2	MANE
SAP18	NM_005870.5	MANE
SAP25	NM_001348680.2	MANE
SAP30	NM_003864.4	MANE
SAP30BP	NM_013260.8	MANE
SAP30L	NM_024632.6	MANE
SAPCD1	NM_001039651.2	MANE
SAPCD2	NM_178448.4	MANE
SAR1A	NM_020150.5	MANE
SAR1B	NM_016103.4	MANE
SARAF	NM_016127.6	MANE
SARDH	NM_001134707.2	MANE
SARM1	NM_015077.4	MANE
SARNP	NM_033082.4	MANE
SARS	NM_006513.4	HGMD
SARS1	NM_006513.4	MANE
SARS2	NM_017827.4	MANE
SART1	NM_005146.5	MANE
SART3	NM_014706.4	MANE
SASH1	NM_015278.5	MANE
SASH3	NM_018990.4	MANE
SASS6	NM_194292.3	MANE
SAT1	NM_002970.4	MANE
SAT2	NM_133491.5	MANE
SATB1	NM_002971.6	MANE
SATB2	NM_001172509.2	MANE
SATL1	NM_001367857.2	MANE
SAV1	NM_021818.4	MANE
SAXO1	NM_153707.4	MANE
SAXO2	NM_001348699.2	MANE
SAYSD1	NM_018322.3	MANE
SBDS	NM_016038.4	MANE
SBF1	NM_002972.4	MANE
SBF2	NM_030962.4	MANE
SBK1	NM_001024401.3	MANE
SBK2	NM_001370096.2	MANE
SBK3	NM_001199824.2	MANE
SBNO1	NM_001167856.3	MANE
SBNO2	NM_014963.3	MANE
SBSN	NM_001166034.2	MANE
SBSPON	NM_153225.4	MANE
SC5D	NM_006918.5	MANE
SCAF1	NM_021228.3	MANE
SCAF11	NM_004719.3	MANE
SCAF4	NM_020706.2	MANE
SCAF8	NM_014892.5	MANE
SCAI	NM_001144877.3	MANE
SCAMP1	NM_004866.6	MANE
SCAMP2	NM_005697.5	MANE
SCAMP3	NM_005698.4	MANE
SCAMP4	NM_079834.4	MANE
SCAMP5	NM_138967.4	MANE
SCAND1	NM_033630.3	MANE
SCAP	NM_012235.4	MANE
SCAPER	NM_020843.4	MANE
SCARA3	NM_016240.3	MANE
SCARA5	NM_173833.6	MANE
SCARB1	NM_005505.5	MANE
SCARB2	NM_005506.4	MANE
SCARF1	NM_003693.4	MANE
SCARF2	NM_182895.5	MANE
SCART1	NM_001396050.1	MANE
SCCPDH	NM_016002.3	MANE
SCD	NM_005063.5	MANE
SCD5	NM_001037582.3	MANE
SCEL	NM_144777.3	MANE
SCFD1	NM_016106.4	MANE
SCFD2	NM_152540.4	MANE
SCG2	NM_003469.5	MANE
SCG3	NM_013243.4	MANE
SCG5	NM_001144757.3	MANE
SCGB1A1	NM_003357.5	MANE
SCGB1C1	NM_145651.3	MANE
SCGB1C2	NM_001097610.3	MANE
SCGB1D1	NM_006552.2	MANE
SCGB1D2	NM_006551.4	MANE
SCGB1D4	NM_206998.2	MANE
SCGB2A1	NM_002407.3	MANE
SCGB2A2	NM_002411.4	MANE
SCGB2B2	NM_001025591.4	MANE
SCGB3A1	NM_052863.3	MANE
SCGB3A2	NM_054023.5	MANE
SCGN	NM_006998.4	MANE
SCHIP1	NM_014575.4	MANE
SCIMP	NM_207103.3	MANE
SCIN	NM_001112706.3	MANE
SCLT1	NM_144643.4	MANE
SCLY	NM_016510.7	MANE
SCMH1	NM_001394311.1	MANE
SCML1	NM_001037540.3	MANE
SCML2	NM_006089.3	MANE
SCML4	NM_198081.5	MANE
SCN10A	NM_006514.4	MANE
